id,value,
Iran,,
Iran.Shiraz,,
Iran.Shiraz.Center,,
Iran.Shiraz.Center.Marvdasht,148858,
Iran.Shiraz.Center.Sadra,91863,
Iran.Shiraz.Center.Abade,59116,
Iran.Shiraz.outer,,
Iran.Shiraz.outer.Fasa,110850,
Iran.Shiraz.outer.Jahrom,141634,
Iran.Shiraz.outer.Lar,62045,
Iran.Shiraz.Shiraz,,
Iran.Shiraz.Shiraz.Shiraz,1565572,
Iran.Isfahan,,
Iran.Isfahan.Isfahan,1961260,
Iran.Isfahan.South.najafAbad,235000,
Iran.Isfahan.South.Shareza,123000,
Iran.Isfahan.South.Mobarake,69500,
Iran.Isfahan.North.Kashan,304000,
Iran.Isfahan.North.Golpayegan,59000,
Iran.Isfahan.North.Shahinsahr,173000,
Iran.Kerman,,
Iran.Kerman.kerman,537000,
Iran.Kerman.Rafsanjan,161000,
Iran.Kerman.Zarand,60000,
Iran.Kermanshah,,
Iran.Kermanshah.Kermanshah,946000,
Iran.Kermanshah.Islamabad,90500,
Iran.Kermanshah.Sarpolezahab,45000,
Iran.Kermanshah.Gilanegharb,22000,
Iran.Zanjan,,
Iran.Zanjan.Zanjan,430000,
Iran.Zanjan.Abhar,99000,
Iran.Zanjan.Khoramdarreh,55000,
Iran.Tehran,,
Iran.Tehran.Tehran,8694000,
Iran.Tehran.East,,
Iran.Tehran.East,Varamin,225000
Iran.Tehran.East,qarchak,231000
Iran.Tehran.West,,
Iran.Tehran.West,Karaj,1592000
Iran.Tehran.West,Eshtehard,29993
Iran.Tehran.Center,,
Iran.Tehran.Center.damavand,48000,
Iran.Tehran.Center.Firoozkph,40000,
Iran.Tehran.Center.Eslamshahr,448000,
Iran.Hormozgan,,
Iran.Hormozgan.Qeshm,40000,
Iran.Hormozgan.BandarAbbas,526000,
Iran.Hormozgan.Minab,73000,
Iran.Azarbayejan,,
Iran.Azarbayejan.West,,
Iran.Azarbayejan.West.Salmas,92000,
Iran.Azarbayejan.West.Urmia,736000,
Iran.Azarbayejan.West.Nqade,81000,
Iran.Azarbayejan.East,,
Iran.Azarbayejan.East.khoy,198000,
Iran.Azarbayejan.East.Tabriz,1558000,
Iran.Azarbayejan.East.Mianeh,98000,
Iran.Azarbayejan.East.Jolfa,20000,
Iran.Azarbayejan.Ardebil,,
Iran.Azarbayejan.Ardebil.Ardebil,529000,
Iran.Azarbayejan.Ardebil.Meshginshahr,75000,
Iran.Azarbayejan.Ardebil.Khalkhal,39000,
Iran.Azarbayejan.Ardebil.Parsabad,93000,
Iran.Mazandaran,,
Iran.Mazandaran.Amol,237000,
Iran.Mazandaran.Babol,250000,
Iran.Mazandaran.Sari,309000,
Iran.Mazandaran.Qaemshar,204000,
Iran.Mazandaran.Chalus,65000,
Iran.Khorasan,,
Iran.Khorasan.North,,
Iran.Khorasan.North.Esfarayen,59000,
Iran.Khorasan.North.Shirvan,82000,
Iran.Khorasan.North.Bojnoord,228000,
Iran.Khorasan.south,,
Iran.Khorasan.south.Tabas,39000,
Iran.Khorasan.south.Birjand,203000,
Iran.Khorasan.Center,,
Iran.Khorasan.Center.TorbatHeydariyeh,140000,
Iran.Khorasan.Center.Kashmar,102000,
Iran.Khorasan.Center.Sabzevar,243000,
Iran.Khorasan.Center.Neyshaboor,264000,
Iran.Khorasan.Center.Mashhad,3000000,
Iran.Khorasan.Center.Quchan,101000,
